phase1_rank,folder_name,category,preferred_subpath,selection_note
9,202503. AX 활용 정보화전략계획수립_서울주택도시개발공사,rfp,"0. RFP","입찰공고문/제안요청서 최종 우선"
9,202503. AX 활용 정보화전략계획수립_서울주택도시개발공사,proposal,"1. 제안서","평가본/발표본 우선"
9,202503. AX 활용 정보화전략계획수립_서울주택도시개발공사,kickoff,"2. 사업 수행","착수보고 키워드 우선"
9,202503. AX 활용 정보화전략계획수립_서울주택도시개발공사,final_report,"2. 사업 수행","최종보고/통합본/산출물 키워드 우선"
9,202503. AX 활용 정보화전략계획수립_서울주택도시개발공사,presentation,"1. 제안서","발표본 또는 루트 발표 템플릿 검토"
10,191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립,rfp,"01. 제안서\\01. RFP","RFP 원본 우선"
10,191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립,proposal,"★ 제안서","최종 제안본 우선, 없으면 01. 제안서\\02. 제안서"
10,191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립,kickoff,"03. 사업수행","착수보고 키워드 우선"
10,191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립,final_report,"★ 산출물","최종 산출물 우선"
10,191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립,presentation,"★ 발표자료","발표자료 우선"
