phase1_rank,folder_name,category,selection_status,selected_path,selection_note
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,kickoff,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 발표자료\2. 착수보고 발표자료.pptx","착수보고 대표 파일"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,final_report,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 산출물\Ⅴ. 이행계획 수립_v0.7 (p.178).pptx","최종 산출물 대표 장표"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,presentation,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 발표자료\4. 최종보고 발표자료.pptx","최종 보고 발표자료"
4,61. 농정원 AGRIX,rfp,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\붙임1_2017년 농업경영체 지원사업 통합관리 시스템 구축사업 제안요청서_170406.hwp","루트 직하 RFP 원본"
4,61. 농정원 AGRIX,proposal,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\Ⅰ.일반현황_위즐리_v0.2.pptx","루트 직하 제안 본문 대표 파일"
4,61. 농정원 AGRIX,kickoff,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 발표자료\2. 착수보고.pptx","착수보고 대표 파일"
4,61. 농정원 AGRIX,final_report,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 산출물\요약자료_최종산출물_v0.9.pptx","최종 산출물 요약본"
4,61. 농정원 AGRIX,presentation,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 발표자료\1. 제안 발표자료.pptx","제안 발표자료 대표 파일"
5,72. LH 스마트시티플랫폼,rfp,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\등록3_제안요청서.hwp","루트 직하 제안요청서"
5,72. LH 스마트시티플랫폼,proposal,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 제안서\III.사업수행부문_원본_v1.0(37p).pptx","제안 본문 대표 파일"
5,72. LH 스마트시티플랫폼,kickoff,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\02. 착수계\02. 착수계\Final\붙임 서류\[붙임 1] 정보화사업 착수계_20180111.pdf","착수계 Final 폴더의 대표 착수 문서"
5,72. LH 스마트시티플랫폼,final_report,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 산출물\LH_스마트시티_II.환경분석_종합_v1.5_20180824.pptx","산출물 대표 파일"
5,72. LH 스마트시티플랫폼,presentation,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 발표자료\0. 제안 발표.pptx","발표자료 대표 파일"
