"phase1_rank","folder_name","file_count","total_size_mb","phase1_status","recommended_sample_docs","priority","selection_reason"
"29","177. 국가정신건강 과제관리시스템 구축을 위한 연구개발","403","1779.93","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"30","40.(원47) 국립정신건강센터","392","815.45","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"31","202403. 품관원_공간정보품질관리원 지속성 강화 방안 연구","372","2978.13","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"32","168. 서울시 119행정정보 서비스 개선 ISP","371","1191.74","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"33","43. 환경산업기술원","329","1250.61","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"34","34. 법무부","319","1425.96","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"35","216. 정신의료기관 통합정보시스템 구축을 위한 ISP 컨설팅 사업","297","1038.34","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"36","2212. k-water 데이터허브플랫폼_ISP","296","2769.15","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"37","202507. 소방출동 데이터 기반, AI빅데이터 분석시스템 구축 ISP","291","3080.04","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"38","123. 외교부 국민외교 빅데이터","290","1424.74","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"39","84. 농정원 빅데이터 ISP","284","2069.55","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"40","174. 국가정신건강통계시스템 구축을 위한 컨설팅","275","1940.65","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"41","157. AI 감사시스템","245","561.12","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"42","202407. 양형기준 운영점검시스템 및 양형정보시스템의 고도화를 위한 AI시스템 구축 ISP","233","167.76","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"43","591. 수소차충돌통합안전성","231","1283.14","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"44","195. KEIT 성과관리시스템 개선을 위한 ISPISMP","218","891.22","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"45","700. 스마트시티","211","1902.92","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"46","82. 정신건강_MHIS","202","538.36","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"47","202507. 국토연구원감리","182","1009.89","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"48","95. 정신건강응급시스템","181","634.75","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"49","44. 대구수성 Smart City","157","999.28","include","5","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"50","135. 서울시 건축주택종합정보시스템 구축을 위한 정보전략계획(ISP) 수립","155","813.29","include","5","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
